View,Point,Corner,x,y
1,1,Top Left,836.07275390625,64.58181762695312
1,2,Top Right,350.83636474609375,359.5636291503906
1,3,Bottom Right,780.2182006835938,1064.727294921875
1,4,Bottom Left,1268.9454345703125,853.5272827148438
2,1,Top Left,352.5818176269531,282.7636413574219
2,2,Top Right,869.2363891601562,43.6363639831543
2,3,Bottom Right,1344.0,766.2545166015625
2,4,Bottom Left,794.1818237304688,1071.7091064453125
3,1,Top Left,834.3272705078125,0.0
3,2,Top Right,1487.1273193359375,89.01818084716797
3,3,Bottom Right,1241.0181884765625,940.7999877929688
3,4,Bottom Left,356.0727233886719,689.4545288085938
4,1,Top Left,666.7636108398438,96.0
4,2,Top Right,1314.3272705078125,47.12727355957031
4,3,Bottom Right,1670.4000244140625,809.8909301757812
4,4,Bottom Left,740.07275390625,933.8181762695312
